127.0.0.1, 2018-05-10 20:16:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249937
127.0.0.1, 2018-05-10 20:16:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.152432
127.0.0.1, 2018-05-10 20:17:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249958
127.0.0.1, 2018-05-10 20:17:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.171959
127.0.0.1, 2018-05-10 20:18:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234316
127.0.0.1, 2018-05-10 20:18:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.149328
127.0.0.1, 2018-05-10 20:19:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249943
127.0.0.1, 2018-05-10 20:19:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.156460
127.0.0.1, 2018-05-10 20:20:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.265566
127.0.0.1, 2018-05-10 20:20:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.166813
127.0.0.1, 2018-05-10 20:21:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.250612
127.0.0.1, 2018-05-10 20:21:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.152266
127.0.0.1, 2018-05-10 20:22:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234330
127.0.0.1, 2018-05-10 20:22:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.139046
127.0.0.1, 2018-05-10 20:23:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249959
127.0.0.1, 2018-05-10 20:23:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.152550
127.0.0.1, 2018-05-10 20:24:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.203128
127.0.0.1, 2018-05-10 20:24:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.141815
127.0.0.1, 2018-05-10 20:25:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234314
127.0.0.1, 2018-05-10 20:25:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.137315
127.0.0.1, 2018-05-10 20:26:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234313
127.0.0.1, 2018-05-10 20:26:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.144943
127.0.0.1, 2018-05-10 20:27:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234314
127.0.0.1, 2018-05-10 20:27:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.131462
127.0.0.1, 2018-05-10 20:28:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234476
127.0.0.1, 2018-05-10 20:28:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.148513
127.0.0.1, 2018-05-10 20:29:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234313
127.0.0.1, 2018-05-10 20:29:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.141152
127.0.0.1, 2018-05-10 20:30:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249940
127.0.0.1, 2018-05-10 20:30:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.153543
127.0.0.1, 2018-05-10 20:31:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234315
127.0.0.1, 2018-05-10 20:31:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.151260
127.0.0.1, 2018-05-10 20:32:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234331
127.0.0.1, 2018-05-10 20:32:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.144392
127.0.0.1, 2018-05-10 20:33:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249939
127.0.0.1, 2018-05-10 20:33:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.146639
127.0.0.1, 2018-05-10 20:34:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249938
127.0.0.1, 2018-05-10 20:34:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.152421
127.0.0.1, 2018-05-10 20:35:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.203138
127.0.0.1, 2018-05-10 20:35:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.134385
127.0.0.1, 2018-05-10 20:36:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249939
127.0.0.1, 2018-05-10 20:36:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.160125
127.0.0.1, 2018-05-10 20:37:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249942
127.0.0.1, 2018-05-10 20:37:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.173346
127.0.0.1, 2018-05-10 20:38:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.259321
127.0.0.1, 2018-05-10 20:38:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.175459
127.0.0.1, 2018-05-10 20:39:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.249943
127.0.0.1, 2018-05-10 20:39:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.153624
127.0.0.1, 2018-05-10 20:40:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234332
127.0.0.1, 2018-05-10 20:40:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.139331
127.0.0.1, 2018-05-10 20:41:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234334
127.0.0.1, 2018-05-10 20:41:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.152704
127.0.0.1, 2018-05-10 20:42:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234324
127.0.0.1, 2018-05-10 20:42:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.139147
127.0.0.1, 2018-05-10 20:43:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.218768
127.0.0.1, 2018-05-10 20:43:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.133387
127.0.0.1, 2018-05-10 20:44:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.265565
127.0.0.1, 2018-05-10 20:44:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.159734
127.0.0.1, 2018-05-10 20:45:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.262219
127.0.0.1, 2018-05-10 20:45:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.172327
127.0.0.1, 2018-05-10 20:46:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.265564
127.0.0.1, 2018-05-10 20:46:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.172900
127.0.0.1, 2018-05-10 20:47:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234334
127.0.0.1, 2018-05-10 20:47:38, GET, /tarefa/appadmin/hooks, HTTP/1.1, 200, 1.156589
